,0,1,2,3,4,5,6,7,8,9
9,26,39,36,35,31,28,25,20,19,30
27,21,23,30,30,22,18,13,13,11,22
45,19,25,27,20,16,14,15,8,4,9
63,27,27,14,20,22,24,26,33,48,50
81,80,80,76,81,75,66,70,65,66,57
99,66,55,46,46,46,42,35,35,40,45
117,41,32,35,31,33,25,36,28,33,29
135,48,53,60,60,52,47,45,50,43,40
153,18,15,9,9,14,15,20,16,23,16
171,6,7,7,0,0,1,1,7,7,8
189,25,21,25,24,23,18,20,14,7,17
207,48,56,62,52,40,32,37,31,34,32
225,10,10,10,13,18,16,7,5,2,11
243,29,23,21,21,30,26,26,26,23,16
261,9,4,8,5,14,11,13,4,9,15
279,24,16,7,7,6,5,2,17,15,33
297,27,25,22,23,22,22,23,11,2,18
315,17,26,25,24,10,7,11,16,19,9
333,64,52,36,41,46,48,38,21,11,11
351,61,59,60,48,53,60,66,53,55,57
369,30,32,36,29,16,10,23,27,33,21
387,22,20,13,8,15,13,22,19,23,15
405,31,26,17,13,18,29,22,21,23,34
423,22,27,22,31,32,35,25,14,7,0
441,6,6,4,4,0,0,0,2,2,2
459,13,22,29,21,21,14,16,6,11,10
477,46,44,38,36,23,19,7,21,20,25
495,32,35,25,13,12,7,7,6,7,9
513,4,6,0,0,0,7,7,5,7,10
531,0,0,4,4,8,9,13,10,4,0
549,4,0,2,1,11,13,13,15,17,23
567,12,7,7,1,0,0,1,4,6,4
585,8,8,4,10,10,5,1,3,4,1
603,11,6,1,1,10,16,19,7,4,6
621,26,17,7,1,1,2,5,6,8,3
639,46,38,34,27,21,25,25,23,21,21
657,42,39,29,35,32,38,23,21,13,19
675,65,61,57,46,27,14,5,4,11,21
693,2,2,0,0,0,5,5,10,10,10
711,27,25,16,12,10,9,12,11,16,14
729,13,7,3,3,3,8,4,9,18,32
747,51,62,61,47,21,2,0,2,2,2
765,0,2,3,3,0,1,1,7,10,18
783,24,26,19,20,20,22,26,29,37,37
801,28,19,9,3,2,1,5,5,6,7
819,5,9,2,4,0,0,0,6,8,14
837,4,7,10,8,5,0,0,0,0,0
855,23,21,20,18,26,20,21,9,8,18
873,4,4,6,1,1,0,0,0,0,0
891,9,4,4,7,7,4,1,14,24,31
909,62,63,64,61,57,43,34,26,26,36
927,46,46,37,28,32,42,42,49,57,80
945,6,5,18,19,14,7,7,13,7,5
963,7,19,23,34,34,41,39,40,48,47
981,36,37,37,40,47,48,62,72,76,78
999,58,54,52,43,39,27,27,36,56,62
1017,27,16,8,15,21,27,25,34,34,45
1035,26,25,21,16,19,18,16,4,13,29
1053,40,44,46,44,43,51,53,50,51,57
1071,23,22,51,51,51,51,50,40,46,47
1089,38,27,24,18,13,15,12,11,5,6
1107,17,16,11,3,0,0,1,1,1,0
1125,50,45,29,4,0,13,24,28,27,28
1143,9,3,8,20,19,23,16,19,19,23
1161,29,36,39,41,41,40,42,46,54,59
1179,41,38,31,22,21,19,16,22,29,41
1197,57,57,60,57,52,54,53,51,45,35
1215,15,9,13,6,9,8,7,8,13,13
1233,16,19,12,12,9,20,23,27,28,35
1251,13,16,23,27,19,17,16,14,12,12
1269,27,28,29,30,31,35,43,54,54,59
1287,29,31,30,29,24,24,27,33,40,43
1305,26,39,39,37,36,29,34,33,36,34
1323,37,42,26,22,11,14,11,19,21,24
1341,22,19,15,24,29,34,33,34,35,41
1359,22,23,30,25,25,17,17,25,32,33
1377,23,21,24,29,31,29,22,19,14,15
1395,31,20,20,20,20,20,16,17,28,33
1413,17,23,31,24,21,26,29,35,31,41
1431,27,22,33,31,23,16,21,29,30,27
1449,25,33,21,22,14,20,16,21,19,29
1467,5,9,9,9,9,9,4,0,0,11
1485,10,9,8,14,13,13,7,2,2,7
1503,21,20,12,3,7,7,10,12,12,10
1521,11,14,10,4,4,11,11,5,-1,-1
1539,2,-1,-1,-1,4,7,14,8,5,-1
1557,9,-1,-1,-1,-1,-1,-1,-1,-1,-1
1575,10,3,9,15,23,17,11,9,8,6
1593,5,6,5,0,0,9,33,39,44,34
1611,39,39,34,20,9,1,9,9,14,6
1629,9,2,0,0,2,11,13,9,2,0
1647,17,8,0,0,0,9,7,9,0,0
1665,8,9,6,6,1,4,4,1,0,0
1683,0,0,2,9,8,6,0,6,15,16
1701,16,21,18,4,4,4,0,5,6,6
1719,0,0,0,1,1,9,13,13,15,9
1737,1,1,1,1,2,2,0,4,7,14
1755,19,22,17,14,8,11,9,20,12,12
1773,4,4,5,9,9,9,0,0,3,8
1791,0,0,4,4,4,3,8,8,4,0
1809,18,15,6,14,20,26,28,31,28,25
1827,34,23,11,7,10,17,12,10,6,13
1845,5,9,7,6,1,1,10,11,12,2
1863,9,6,1,0,1,4,11,14,14,14
1881,27,13,5,0,3,7,9,12,11,15
1899,4,6,7,13,12,16,12,10,2,3
1917,11,5,0,0,0,0,0,0,2,4
1935,17,12,11,6,3,0,3,3,2,0
1953,8,3,6,7,7,0,0,0,0,8
1971,12,13,6,6,4,9,13,9,6,4
1989,0,0,0,10,10,10,1,9,11,9
2007,1,0,0,0,0,5,4,6,4,4
2025,34,29,24,20,25,21,27,31,28,25
2043,6,15,9,8,0,0,0,0,0,7
2061,14,26,24,32,34,35,35,37,50,42
2079,3,3,0,0,8,13,24,15,16,8
2097,22,14,17,12,19,14,12,3,3,4
2115,5,5,4,2,5,11,21,26,21,20
2133,7,10,15,19,11,11,7,10,16,21
2151,6,6,0,6,14,22,27,19,17,10
2169,17,10,5,0,3,2,2,5,14,41
2187,25,28,17,6,10,20,25,21,10,15
2205,18,49,70,76,25,7,7,7,15,20
2223,29,41,22,30,36,37,31,29,41,50
2241,7,8,15,26,31,53,51,64,30,28
2259,22,15,17,6,13,13,24,25,26,23
2277,37,32,17,24,15,21,14,20,22,20
2295,11,12,7,0,0,0,4,4,7,4
2313,18,15,14,16,20,18,25,17,21,22
2331,29,17,22,10,10,9,7,16,10,9
2349,9,10,12,4,2,3,3,8,5,14
2367,2,5,4,3,4,9,13,11,13,6
2385,9,0,3,3,10,11,18,11,11,8
2403,14,7,7,5,3,3,6,6,12,7
2421,19,13,12,13,15,13,9,7,21,21
2439,12,10,14,12,10,10,13,11,8,8
2457,18,12,25,21,29,22,20,26,29,29
2475,24,23,22,27,24,15,8,16,24,25
2493,9,5,9,12,12,16,16,16,15,14
2511,26,27,25,18,18,18,18,18,15,15
2529,9,14,12,12,11,13,18,13,11,20
2547,22,20,19,21,20,18,12,15,13,18
2565,27,23,20,12,21,18,20,22,20,24
2583,7,3,1,0,2,3,3,2,3,12
2601,17,17,13,2,6,12,22,19,14,6
2619,11,9,13,12,16,13,6,11,9,11
2637,23,25,21,27,22,27,19,22,21,33
2655,8,6,11,4,4,6,10,10,6,3
2673,6,6,5,5,9,5,7,4,7,13
2691,4,11,9,13,8,5,10,8,8,3
2709,11,2,7,7,10,12,16,13,7,8
2727,5,6,2,6,4,5,4,4,6,1
2745,2,6,5,7,2,5,5,5,2,1
2763,20,10,12,7,7,5,4,2,4,7
2781,10,8,14,10,19,16,18,13,11,6
2799,16,7,13,11,13,6,1,5,7,15
2817,15,14,6,4,9,11,7,9,14,22
2835,6,0,11,15,18,10,8,12,10,18
2853,0,0,5,9,9,7,3,5,5,5
2871,5,12,9,7,0,6,9,9,8,14
2889,20,21,32,24,30,19,21,16,18,10
2907,14,11,10,18,35,32,28,14,24,27
2925,16,27,18,16,8,8,12,20,18,21
2943,12,9,11,10,13,14,7,6,11,18
2961,20,20,16,22,18,26,14,12,11,15
2979,25,26,20,16,17,18,10,13,22,28
2997,20,21,22,34,25,22,13,16,18,22
3015,29,28,20,13,8,8,3,7,22,34
3033,19,18,16,11,6,9,9,11,9,6
3051,4,5,5,6,4,4,10,9,11,4
3069,15,16,8,9,7,6,7,5,10,15
3087,23,22,30,35,29,34,22,29,20,19
3105,10,2,10,7,7,1,2,2,7,9
3123,4,4,2,2,4,1,3,2,8,15
3141,18,23,25,16,9,11,11,15,19,28
3159,20,8,6,11,14,13,9,12,21,20
3177,20,23,15,9,12,13,10,13,18,25
3195,34,26,25,17,22,17,22,20,25,19
3213,31,27,29,32,32,35,32,29,30,37
3231,41,41,33,37,31,44,33,40,35,39
3249,12,15,18,26,31,35,32,34,33,42
3267,7,11,17,18,20,10,9,9,16,16
3285,19,16,20,14,8,6,4,6,7,12
3303,24,28,25,22,20,25,31,30,24,19
3321,9,9,9,0,6,7,8,3,2,1
3339,25,27,23,15,17,16,25,22,24,27
3357,31,24,17,21,26,24,22,16,26,30
3375,16,9,3,4,4,7,7,9,13,11
3393,1,8,12,13,13,9,11,6,8,6
3411,0,7,7,8,0,7,13,14,11,4
3429,6,6,4,4,4,10,9,18,10,13
3447,16,8,10,20,18,14,3,9,16,24
3465,7,5,14,13,24,22,21,18,18,28
3483,7,17,20,20,18,16,16,16,14,22
3501,31,29,24,21,15,18,12,15,20,26
3519,32,23,34,41,38,37,30,39,25,22
3537,20,18,21,21,27,28,29,30,36,42
3555,6,14,16,22,15,23,19,35,42,55
3573,24,26,29,40,38,38,34,34,36,45
3591,41,39,40,28,19,26,18,28,18,26
3609,92,97,90,76,73,70,70,59,58,55
3627,29,37,28,36,34,37,31,33,33,38
3645,17,15,8,11,10,17,16,12,6,10
3663,9,7,11,8,7,8,17,19,13,6
3681,12,8,14,14,20,24,34,31,25,20
3699,22,18,22,18,15,5,11,19,26,23
3717,15,19,13,11,9,9,9,6,24,37
3735,32,41,50,46,45,36,35,36,33,29
3753,24,24,19,15,6,1,0,1,1,5
3771,3,0,0,0,0,0,0,0,4,12
3789,11,6,14,12,12,0,2,7,12,23
3807,21,16,26,18,11,6,7,12,4,6
3825,14,11,14,14,10,4,9,14,10,17
3843,9,6,6,5,0,4,7,9,12,14
3861,9,4,6,1,1,0,0,0,4,6
3879,0,0,0,0,1,1,13,19,23,14
3897,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3915,6,12,11,11,7,3,13,31,47,47
3933,9,3,0,4,4,8,2,4,8,14
3951,10,8,8,2,2,0,4,14,25,20
3969,22,17,17,22,27,26,9,4,0,0
3987,14,6,0,10,15,24,15,14,14,21
4005,20,5,12,15,22,14,6,4,13,20
4023,21,21,21,0,0,0,0,0,0,0
4041,20,20,20,20,20,21,29,29,27,21
4059,7,2,0,0,1,5,9,8,2,1
4077,8,6,19,21,20,4,0,0,0,3
4095,27,15,11,11,14,15,15,17,23,24
4113,4,11,22,23,16,9,4,6,3,13
4131,18,19,38,52,53,39,17,9,6,12
4149,23,11,6,1,1,1,0,0,1,1
4167,6,14,12,12,2,4,1,1,3,4
4185,24,16,27,21,22,27,29,37,23,17
4203,26,19,17,19,32,26,21,6,17,14
4221,49,57,53,65,64,68,52,42,31,27
4239,5,9,17,26,33,32,24,16,16,21
4257,21,26,26,31,29,21,13,13,21,23
4275,0,2,2,3,3,3,11,13,14,8
4293,14,16,13,14,21,19,23,18,17,24
4311,6,1,1,1,0,0,0,2,2,8
9,39,36,35,31,28,25,20,19,30,41
27,23,30,30,22,18,13,13,11,22,25
45,25,27,20,16,14,15,8,4,9,16
63,27,14,20,22,24,26,33,48,50,49
81,80,76,81,75,66,70,65,66,57,56
99,55,46,46,46,42,35,35,40,45,48
117,32,35,31,33,25,36,28,33,29,42
135,53,60,60,52,47,45,50,43,40,42
153,15,9,9,14,15,20,16,23,16,17
171,7,7,0,0,1,1,7,7,8,4
189,21,25,24,23,18,20,14,7,17,31
207,56,62,52,40,32,37,31,34,32,33
225,10,10,13,18,16,7,5,2,11,8
243,23,21,21,30,26,26,26,23,16,4
261,4,8,5,14,11,13,4,9,15,23
279,16,7,7,6,5,2,17,15,33,25
297,25,22,23,22,22,23,11,2,18,31
315,26,25,24,10,7,11,16,19,9,8
333,52,36,41,46,48,38,21,11,11,40
351,59,60,48,53,60,66,53,55,57,57
369,32,36,29,16,10,23,27,33,21,32
387,20,13,8,15,13,22,19,23,15,17
405,26,17,13,18,29,22,21,23,34,32
423,27,22,31,32,35,25,14,7,0,2
441,6,4,4,0,0,0,2,2,2,8
459,22,29,21,21,14,16,6,11,10,14
477,44,38,36,23,19,7,21,20,25,16
495,35,25,13,12,7,7,6,7,9,6
513,6,0,0,0,7,7,5,7,10,10
531,0,4,4,8,9,13,10,4,0,5
549,0,2,1,11,13,13,15,17,23,20
567,7,7,1,0,0,1,4,6,4,1
585,8,4,10,10,5,1,3,4,1,0
603,6,1,1,10,16,19,7,4,6,16
621,17,7,1,1,2,5,6,8,3,5
639,38,34,27,21,25,25,23,21,21,22
657,39,29,35,32,38,23,21,13,19,14
675,61,57,46,27,14,5,4,11,21,36
693,2,0,0,0,5,5,10,10,10,6
711,25,16,12,10,9,12,11,16,14,20
729,7,3,3,3,8,4,9,18,32,37
747,62,61,47,21,2,0,2,2,2,1
765,2,3,3,0,1,1,7,10,18,25
783,26,19,20,20,22,26,29,37,37,39
801,19,9,3,2,1,5,5,6,7,7
819,9,2,4,0,0,0,6,8,14,16
837,7,10,8,5,0,0,0,0,0,0
855,21,20,18,26,20,21,9,8,18,28
873,4,6,1,1,0,0,0,0,0,0
891,4,4,7,7,4,1,14,24,31,31
909,63,64,61,57,43,34,26,26,36,53
927,46,37,28,32,42,42,49,57,80,93
945,5,18,19,14,7,7,13,7,5,3
963,19,23,34,34,41,39,40,48,47,44
981,37,37,40,47,48,62,72,76,78,70
999,54,52,43,39,27,27,36,56,62,65
1017,16,8,15,21,27,25,34,34,45,55
1035,25,21,16,19,18,16,4,13,29,49
1053,44,46,44,43,51,53,50,51,57,71
1071,22,51,51,51,51,50,40,46,47,50
1089,27,24,18,13,15,12,11,5,6,-1
1107,16,11,3,0,0,1,1,1,0,8
1125,45,29,4,0,13,24,28,27,28,37
1143,3,8,20,19,23,16,19,19,23,18
1161,36,39,41,41,40,42,46,54,59,57
1179,38,31,22,21,19,16,22,29,41,49
1197,57,60,57,52,54,53,51,45,35,21
1215,9,13,6,9,8,7,8,13,13,-1
1233,19,12,12,9,20,23,27,28,35,50
1251,16,23,27,19,17,16,14,12,12,21
1269,28,29,30,31,35,43,54,54,59,68
1287,31,30,29,24,24,27,33,40,43,37
1305,39,39,37,36,29,34,33,36,34,26
1323,42,26,22,11,14,11,19,21,24,14
1341,19,15,24,29,34,33,34,35,41,42
1359,23,30,25,25,17,17,25,32,33,34
1377,21,24,29,31,29,22,19,14,15,16
1395,20,20,20,20,20,16,17,28,33,35
1413,23,31,24,21,26,29,35,31,41,45
1431,22,33,31,23,16,21,29,30,27,36
1449,33,21,22,14,20,16,21,19,29,29
1467,9,9,9,9,9,4,0,0,11,11
1485,9,8,14,13,13,7,2,2,7,13
1503,20,12,3,7,7,10,12,12,10,8
1521,14,10,4,4,11,11,5,-1,-1,-1
1539,-1,-1,-1,4,7,14,8,5,-1,0
1557,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1575,3,9,15,23,17,11,9,8,6,0
1593,6,5,0,0,9,33,39,44,34,39
1611,39,34,20,9,1,9,9,14,6,3
1629,2,0,0,2,11,13,9,2,0,0
1647,8,0,0,0,9,7,9,0,0,3
1665,9,6,6,1,4,4,1,0,0,-1
1683,0,2,9,8,6,0,6,15,16,16
1701,21,18,4,4,4,0,5,6,6,0
