,0,1,2,3,4,5,6,7,8
9,27,13,24,29,41,30,29,27,28
27,46,47,57,78,84,76,59,61,61
45,10,10,25,34,40,39,36,25,22
63,71,58,51,41,41,46,43,34,29
81,13,23,18,10,5,5,13,9,12
99,25,32,40,40,31,27,13,24,29
117,37,42,65,70,71,58,51,41,41
135,17,22,17,9,17,23,29,17,18
153,78,84,76,59,61,61,60,49,49
171,13,13,18,20,14,9,16,22,35
189,27,36,42,32,24,25,32,40,40
207,27,18,24,35,45,51,55,60,62
225,62,59,55,48,62,60,62,54,41
243,44,40,32,24,26,27,18,24,35
261,74,80,73,90,79,67,47,34,28
279,26,34,29,20,24,16,16,13,12
297,28,33,27,37,42,65,70,71,58
315,60,49,49,38,41,30,23,19,20
333,22,20,20,14,12,16,13,16,16
351,30,17,10,5,13,13,13,13,18
369,9,1,4,3,1,4,7,15,14
387,31,24,17,1,9,23,25,29,25
405,54,47,41,39,37,28,28,34,38
423,83,83,85,65,47,30,20,13,7
441,39,57,63,54,45,39,49,55,62
459,14,14,6,4,6,16,31,36,48
477,12,16,24,17,8,11,19,30,29
495,11,19,30,29,26,16,14,9,9
513,17,1,9,23,25,29,25,31,29
531,18,14,14,6,4,6,16,31,36
549,28,20,18,14,14,6,4,6,16
567,20,13,7,4,4,4,6,12,11
585,16,12,16,26,33,29,20,16,15
603,85,65,47,30,20,13,7,4,4
621,41,37,32,28,30,31,28,20,18
639,11,15,14,26,39,57,63,54,45
657,22,37,47,51,40,34,34,27,23
675,11,23,30,32,35,36,41,37,32
693,0,0,0,3,4,4,3,-1,5
711,6,12,11,15,14,26,39,57,63
729,4,2,6,15,32,42,42,41,47
747,43,51,50,51,41,45,39,37,18
765,32,43,42,49,49,43,43,46,52
783,35,27,27,27,26,28,23,27,17
801,8,1,6,10,10,15,27,27,47
819,37,39,53,54,62,64,68,62,56
837,51,51,47,48,50,58,68,73,68
855,43,43,43,51,50,51,41,45,39
873,17,22,22,26,26,31,37,39,53
891,16,18,6,4,2,6,15,32,42
909,47,47,48,49,50,50,46,40,32
927,43,35,27,26,24,28,19,26,21
945,6,10,10,15,27,27,47,54,50
963,35,27,26,24,28,19,26,21,29
981,14,22,29,45,43,42,36,37,39
999,17,11,26,34,47,47,49,41,43
